id	card_name	category	summary	calc	detail	explanation	how_to_use
1	OBV	거래량지표	OBV|(On Balance Volume)|: 누적 거래량 지표	"가격이 오른 날의 거래량은 더하고, 가격이 떨어진 날의 거래량은 뺀 지표"		"거래량은 가격보다 앞선다는 성질을 이용한 지표로서 가격의 방향을 예측하는데 활용|OBV 상승: 매수세 강화, 가격 상승 시그널 OBV 하락: 매수세 약화, 가격 하락 시그널"	"가격 추세를 미리 예측하는데 활용되며, 가격 변화는 미미한 상황에서 OBV가 급격하게 변화하면 앞으로 가격변화가 이루어질 것을 시사"
2	MACD	추세지표	MACD|(Moving Average Convergence & Divergence)|: 이동평균수렴확산 지수(이동평균선들의 차이)	"단기, 장기 EMA의 차이(단기-장기)|(일반적 기준 : 단기:12일, 장기: 26일)"	* EMA : 지수이동평균선	"가격이 상승(하락)할때 기간이 짧은|단기 EMA에는 빠르게 상승(하락)하며,|기간이 긴 장기 EMA는 천천히 상승(하락)|하는 성질을 이용한 지수||MACD 상승: 가격 상승 경향|MACD 하락: 가격 하락 경향"	"가격과 MACD가 반대로 움직이기 시작하면,|추세가 변화한다는 것을 시사||MACD가 시그널선을 상향돌파하면 매수,|하향돌파하면 매도"
3	RSI	추세지표	"RSI|(Relative Strength Index)|: 상대강도지수(가격상승,하락 간의)"	주가상승폭 n일 평균이 주가변화폭의 n일 평균에서 차지하는 비율|(일반적 기준 : 14일)	* 상세 : AU/(AU+AD)|    AU : 주가가 오른날의 주가 상승폭 n일 평균)|    AD : (주가가 하락한 날의 주가하락폭 n일 평균)	"RSI 값을 바탕으로 과매수, 과매도 구간 판단||- RSI 70% 이상 : 과매수|- RSI 30% 이하 : 과매도"	"RSI > 70 : 과매수 상태이기에 매도|RSI < 30 : 과매도 상태이기에 매수"
4	ADI	거래량지표	ADI|(Accumulation / Distribution Index)|: 매집/분산 지표	"종가와 가격 변동폭 평균간의 비교를|통해 상승, 하락하는 거래량 산출하는 지표"	* 상세 : (종가 - 시가) / (고가 - 저가) x 거래량	"현재 매집 혹은 분산 단계에 있는지|확인하는데 사용되는 지표||주가와 ADI가 지속적으로 반대방향으로|움직이면 주가가 반전될 수 있음||ADI 증가 추세 : 매집 신호|ADI 감소 추세 : 분산 신호"	"ADI 하락, 주가 상승 : 매수|ADI 상승, 주가 하락 : 매도"
5	CMF	거래량지표	CMF|(CHAIKIN Money Flow)|: 주가와 거래량을 통한 자금흐름 파악 지표	n일간의 (거래량 x CLV) 합 / n일 거래량|(일반적 기준 : 20일)	* CLV : [(당일종가 - 당일저가)-(당일고가 -당일종가)]|              /(당일고가 -당일저가)	CLV가 높을수록 당일 종가가 높은 곳에|위치한다는 것을 뜻함|(CLV =1 : 당일 종가=고가|CLV =-1 : 당일 종가 =저가)||거래량이 포함된 CMF의 양(음)의 값은|주가 및 거래량 강세(약세)를 뜻함 	"CMF 값은 -1 과 1 사이에서 움직이며|CMF가0.25선을 상향 돌파할때 매수,|-0.25선을 하향 돌파할때 매도"
6	MFI	거래량지표	MFI|(Money Flow Index)|: 주가와 거래량을 통한 자금흐름 파악 지표	"주가 상승과 하락의 변동폭에 거래량을|반영하여 계산|(일반적기준 : 단기 14일, 중기 28일)"	  	"자금의 유입과 유출, 거래량을 통해 주가의|추세전환 시기를 예측하는데 사용됨||RSI(상대강도지수)에 거래량을 반영한|지표로 볼 수 있음"	MFI > 80 : 매도(주가 및 거래량 과열)|MFI > 65 : 매도(주가 및 거래량 과열 양상)|MFI < 35 : 매수(주가 및 거래량 침체 양상)|MFI < 20 : 매수(주가 및 거래량 침체)|
7	FI	거래량지표	FI|(Force Index)|: 거래량을 통한 주가 강도 파악 지표	거래량을 활용하여 주가 상승과 하락의|변동의 힘을 산출하는 지표|(일반적기준 : 13일)	*상세 : [(당일종가 - 전일종가)x거래량]의 n일|            지수이동평균	"금일 종가가 전일 종가보다 높(낮)으면|주가 변동 방향은 양(음)이 되며, 거래량이|많을수록 주가변동의 힘(지표 값)이 커짐"	"FI가 0을 상향돌파할때 매수,|FI가 0을 하향돌파할때 매도,"
8	MACD 시그널	추세지표	"MACD시그널|(Moving Average Convergence|& Divergence signal)|: 이동평균수렴확산 지수의 n일 이동평균"	MACD의 n일 지수이동평균|(일반적 기준 : 9일) 	"* MACD : 단기, 장기 지수이동평균선의 차이|                 (일반적 기준 : 단기 12일, 장기 26일"	"가격이 상승(하락)할때 기간이 짧은|단기 EMA에는 빠르게 상승(하락)하며,|기간이 긴 장기 EMA는 천천히 상승(하락)|하는 성질을 이용한 지수||MACD 상승: 가격 상승 경향|MACD 하락: 가격 하락 경향"	"가격 추세를 미리 예측하는데 활용되며,|MACD와 MACD 시그널 선을 비교하여 사용||MACD가 시그널선을 상향돌파하면 매수,|하향돌파하면 매도"
9	ADX	추세지표	ADX|(Average Directional Movement Index)|: 평균방향성 지표로서 주가의 방향성을|예측하는 지표	전일과 당일 가격의 고가와 저가의 차이를|계산하는 지표 	* 상세: ( ㅣPDI - MDIㅣ ) / (PDI +MDI)|PDI : 당일고가 > 전일고가 = 당일고가 - 전일고가|           당일고가 < 전일고가 = 0|MDI : 당일저가 > 전일저가 = 전일저가 - 당일저가|            당일저가 < 전일저가 = 0	전일과 당일의 고가와 저가를 분석하여|주가의 추세를 분석하는 지표||PDI > MDI : 매수세력이 우세|PDI < MDI : 매도세력이 우세||ADX 상승 : 상승추세|ADX 하락 : 하락추세	"매매 타이밍을 결정하는데 주로 쓰이며|주가 지속적 상승, ADX 지속적 상승 : 매수|주가 지속적 상승, ADX 지속적 하락 : 매도|주가 지속적 하락, ADX 지속적 상승 : 매수|주가 지속적 하락, ADX 지속적 하락 : 매도"
10	CCI	추세지표	CCI|(Commodity Channel Index)|: 추세의 시작과 끝을 포착하기 위한 지표	n일 이동평균과 현재 주가 사이의 괴리도를|계산하는 지표|(일반적 기준 20일)	"*상세 : (M-m)/d x 0.15|   M : (고가+저가+종가)/3, m : M의 n일 이동평균|d : l M-ml 의 n일 이동평균"	"n일 이동평균과 현재 주가 사이의 괴리도를|보여주는 지표||CCI 값이 클수록 현재 주가가 이동평균에서|많이 떨어져있으며, 값이 + 상승, -는 하락|추세를 뜻함 "	"CCI>100 : 매도|CCI <-100 : 매수||100을 넘었다, 다시 감소할때 매도|-100보다 내려갔다, 다시 올라올때 매수"
11	TRIX	추세지표	TRIX|: 3중 지수이동평균을 통한 추세 파악 지표	종가의 3중 지수이동평균|(일반적 기준 12일)	*상세 : [M(당일) -M(전일)]/M(당일) x 100|  M : 종가의 3중 지수이동평균	3중 지수이동평균을 통해 이동평균의|단점인 초단기 가격 등락을 제거하여|추세를 파악하는 지표||0값을 기준으로 오르고내림	"TRIX의 방향이 상승하면 주가의 상승세,|하락하면, 주가의 하락세로 해석이 가능하며||TRIX가 시그널선(TRIX의 9일 이동평균선)을|상향돌파하면 매수, 하향돌파하면 매도 "
12	스토캐스틱 오실레이터	모멘텀지표	"스토캐스틱|(Stochastics Oscillator)|: 주가 최고점, 최저점 사이에서 현재가격의 위치"	"주식의 현재가격이 주가의 최고, 최저점 |사이에서 차지하는 비율|(일반적 기준 : 14일)"	* 상세 : (n일 중 최고가 - n일 중 최저가) /|             (현재 가격 - n일 중 최저가) 	"스토캐스틱 값을 바탕으로 상승, 하락 추세|과매수, 과매도 구간 판단||- 스토캐스틱 85% 이상 : 과매수 구간|- 스토캐스틱 70% 이상 : 상승 추세|- 스토캐스틱 30% 이하 : 하락 추세|- 스토캐스틱 15% 이하 : 과매도 구간|"	"85 < 스토캐스틱 < 100 : 매도|70 < 스토캐스틱 < 85   : 매수|15 < 스토캐스틱 < 30   : 매도| 0  <  스토캐스틱 < 15   : 매수"
13	TSI	모멘텀지표	"TSI|(True Strength Index)|: 주가의 상승, 하락 강도를 통합한 강도 지수"	주가의 상승과 하락 사이의 실질적 변동폭을|계산하는 지표	"* 상세 :r일 Mtm 지수이동평균의 s일 지수이동평균 /|   r일 Mtm 절대값 지수이동평균의 s일 지수이동평균|   (Mtm : 전일종가 - 금일종가)|   (일반적 기준 : r - 단기 12일, s - 장기 26일)"	"RSI 지표와 유사하지만, 주가의 상승/하락|강도를 한번에 적용하여 실질적인 변동폭을|보여주는 지표||-1과 1사이에서 움직이며, 양의 값은 주가가|상승추세, 음의 값은 하락 추세라는 것을|뜻한다"	"TSI > 0.5 : 과매수 상태이기에 매도|TSI < -0.5 : 과매도 상태이기에 매수"
14	ROC	모멘텀지표	ROC|(Rate of Change)|: 주가변화율 지표	n일전과 현재 주가 사이의 가격변화율을|계산하는 지표|(일반적 기준 : 12일) 	* 상세 : (당일 종가 - n일전 종가) / n일전 종가 x 100	"두 기간의 가격차이를 비율로 계산하는|지표로서 0을 기준으로 등락을 하며,|0보다 위에 있으면 상승추세, 아래에 있으면|하락추세로 판단||또한, 0선에서 멀수록 주가의 변동폭이 크다"	"ROC가 0선을 상향돌파 : 매수|ROC가 0선을 하향돌파 : 매도"
15	AO	모멘텀지표	AO|(Awesome Oscillator)|: 주가차이 분석 지표	"주가의 장, 단기 이동평균의 차이를 비교하여|주가 추세를 파악하는 지표|(일반적 기준 : 단기 5일, 장기 34일)"	* 상세 : 종가의 5일 이동평균 - 종가의 34일 이동평균	"주가 추세의 강도를 보여주는 지표로서|0을 기준으로 등락을 하며,|0보다 위에 있으면 상승추세, 아래에 있으면|하락추세로 판단"	"AO가 0을 상향돌파 : 매수|AO가 0선을 하향돌파 : 매도"
16	볼린저밴드 중심선	변동성지표	볼린저밴드 중심선|(Bollinger Bands)|: 이동평균선과 표준편차를 이용한|주가 추세 예측	주가의 n일 이동평균선 (일반적 기준: 20일)		"통계학적으로 주가의 95%는 볼린저밴드의|상한선과 하한선 사이에서 움직이며|상(하)한선이 저항(지지)선이 될 수 있음|밴드폭 축소 : 가격변동성 상승 신호|밴드폭 확대 : 추세전환 신호|가격이 상, 하한선 돌파 시 추세 반전 신호|"	"밴드폭 축소가 지속되면서| -주가 > 상한선 : 지지선 돌파이므로 매수| -주가 < 하한선: 저항선 돌파이므로 매도||주가가 상한선, 하한선 접근시 다른 지표들의|주가 강(약)세를 확인하여 매수, 매도"
17	볼린저밴드 상한선	변동성지표	볼린저밴드 상한선|(Bollinger Bands)|: 이동평균선과 표준편차를 이용한|주가 추세 예측	"주가의 n일 이동평균선 + 2σ|(일반적 기준: 20일, 2σ )"	* σ : 주가의 표준편차	"통계학적으로 주가의 95%는 볼린저밴드의|상한선과 하한선 사이에서 움직이며|상(하)한선이 저항(지지)선이 될 수 있음|밴드폭 축소 : 가격변동성 상승 신호|밴드폭 확대 : 추세전환 신호|가격이 상, 하한선 돌파 시 추세 반전 신호|"	"밴드폭 축소가 지속되면서| -주가 > 상한선 : 지지선 돌파이므로 매수| -주가 < 하한선: 저항선 돌파이므로 매도||주가가 상한선, 하한선 접근시 다른 지표들의|주가 강(약)세를 확인하여 매수, 매도"
