t,open_price,close_price,high_price,low_price,volumn
20171109000000,8418000,8420000,8420000,8403000,1.09498185
20171109000100,8420000,8406000,8420000,8404000,0.78772633
20171109000200,8405000,8406000,8407000,8405000,0.97153022
20171109000300,8405000,8403000,8405000,8402000,2.12663181
20171109000400,8402000,8401000,8402000,8401000,1.21345381
20171109000500,8401000,8401000,8402000,8401000,0.76257027
20171109000600,8401000,8401000,8402000,8401000,0.52394063
20171109000700,8401000,8399000,8401000,8398000,1.03669075
20171109000800,8400000,8395000,8400000,8395000,1.34234998
20171109000900,8395000,8401000,8401000,8395000,0.41847903
20171109001000,8402000,8402000,8402000,8401000,0.84660204
20171109001100,8402000,8401000,8402000,8401000,1.01160004
20171109001200,8402000,8417000,8417000,8400000,1.1064022
20171109001300,8401000,8415000,8415000,8401000,0.76103348
20171109001400,8402000,8402000,8415000,8402000,0.9557385
20171109001500,8402000,8412000,8414000,8402000,1.35276721
20171109001600,8412000,8418000,8418000,8402000,1.81533073
20171109001700,8413000,8424000,8424000,8413000,1.01581835
20171109001800,8424000,8415000,8424000,8414000,1.03949568
20171109001900,8415000,8423000,8424000,8415000,1.171546
20171109002000,8423000,8422000,8426000,8421000,0.75417835
20171109002100,8421000,8421000,8421000,8414000,1.30173482
20171109002200,8414000,8414000,8421000,8414000,0.75746752
20171109002300,8415000,8414000,8421000,8413000,0.79053785
20171109002400,8413000,8414000,8414000,8413000,0.93424401
20171109002500,8414000,8414000,8421000,8414000,0.91104559
20171109002600,8420000,8421000,8428000,8420000,1.263439
20171109002700,8421000,8425000,8426000,8421000,0.411261
20171109002800,8425000,8424000,8425000,8424000,2.93424492
20171109002900,8423000,8424000,8425000,8423000,0.718569
20171109003000,8424000,8425000,8426000,8424000,0.780338
20171109003100,8426000,8424000,8426000,8424000,0.61734116
20171109003200,8425000,8423000,8426000,8422000,0.87127112
20171109003300,8422000,8425000,8426000,8422000,3.35145861
20171109003400,8425000,8424000,8426000,8423000,1.06575343
20171109003500,8424000,8424000,8424000,8424000,0.586029
20171109003600,8424000,8424000,8424000,8423000,1.31315317
20171109003700,8424000,8425000,8425000,8424000,1.32889182
20171109003800,8425000,8424000,8425000,8424000,0.51482653
20171109003900,8425000,8424000,8425000,8424000,0.84916199
20171109004000,8424000,8423000,8424000,8423000,0.93598271
20171109004100,8424000,8415000,8424000,8413000,0.67901612
20171109004200,8423000,8421000,8423000,8421000,0.53129804
20171109004300,8422000,8422000,8422000,8421000,0.956611
20171109004400,8422000,8422000,8422000,8422000,1.01386639
20171109004500,8422000,8422000,8422000,8421000,1.04832701
20171109004600,8422000,8422000,8422000,8422000,0.30240979
20171109004700,8422000,8421000,8422000,8421000,1.29435998
20171109004800,8421000,8421000,8421000,8421000,0.84157583
20171109004900,8420000,8420000,8420000,8420000,0.434699
20171109005000,8420000,8415000,8420000,8414000,1.05639837
20171109005100,8415000,8413000,8415000,8413000,0.80456046
20171109005200,8413000,8412000,8413000,8405000,0.80474647
20171109005300,8412000,8418000,8419000,8412000,0.7403890000000001
20171109005400,8417000,8418000,8418000,8417000,0.7233501
20171109005500,8418000,8414000,8418000,8414000,0.89396271
20171109005600,8414000,8411000,8414000,8409000,0.80023999
20171109005700,8410000,8410000,8414000,8409000,0.71880481
20171109005800,8413000,8410000,8413000,8410000,1.00976372
20171109005900,8410000,8410000,8412000,8410000,0.90857806
20171109010000,8412000,8410000,8412000,8410000,1.47470197
20171109010100,8410000,8412000,8412000,8410000,1.61873626
20171109010200,8411000,8413000,8413000,8411000,1.06806542
20171109010300,8412000,8413000,8413000,8412000,0.797974
20171109010400,8412000,8412000,8413000,8412000,0.71554794
20171109010500,8412000,8412000,8412000,8412000,0.35757206
20171109010600,8411000,8411000,8411000,8411000,0.94741
20171109010700,8411000,8411000,8411000,8410000,0.810662
20171109010800,8410000,8411000,8411000,8410000,0.87822692
20171109010900,8411000,8409000,8411000,8409000,1.44485471
20171109011000,8410000,8407000,8410000,8407000,0.8419883
20171109011100,8406000,8408000,8408000,8406000,0.8679938
20171109011200,8410000,8407000,8412000,8407000,0.57659684
20171109011300,8409000,8408000,8409000,8407000,0.78943921
20171109011400,8408000,8408000,8409000,8408000,1.12703812
20171109011500,8408000,8409000,8409000,8408000,0.458583
20171109011600,8408000,8409000,8409000,8407000,0.79980847
20171109011700,8409000,8408000,8409000,8408000,0.793838
20171109011800,8409000,8408000,8409000,8408000,0.747602
20171109011900,8408000,8411000,8411000,8408000,0.86470116
20171109012000,8411000,8410000,8412000,8409000,0.73436916
20171109012100,8410000,8409000,8410000,8391000,1.484386
20171109012200,8391000,8385000,8412000,8385000,2.11870345
20171109012300,8388000,8412000,8412000,8386000,0.82350927
20171109012400,8387000,8388000,8388000,8387000,0.719608
20171109012500,8389000,8407000,8409000,8389000,1.166251
20171109012600,8406000,8404000,8406000,8404000,0.88577658
20171109012700,8404000,8403000,8404000,8403000,0.80986249
20171109012800,8403000,8402000,8403000,8388000,0.90034581
20171109012900,8401000,8388000,8401000,8388000,1.993964
20171109013000,8398000,8399000,8399000,8398000,0.67520104
20171109013100,8398000,8391000,8399000,8391000,1.06892371
20171109013200,8399000,8391000,8399000,8390000,0.92089799
20171109013300,8391000,8388000,8398000,8388000,1.11688819
20171109013400,8389000,8398000,8398000,8389000,0.488164
20171109013500,8389000,8396000,8398000,8389000,1.42517126
20171109013600,8398000,8389000,8398000,8388000,0.87090492
20171109013700,8389000,8389000,8397000,8389000,0.723008
20171109013800,8389000,8398000,8398000,8389000,0.734366
20171109013900,8398000,8397000,8398000,8397000,2.076821
20171109014000,8397000,8398000,8398000,8397000,0.97638239
20171109014100,8397000,8397000,8397000,8388000,0.88782604
20171109014200,8396000,8396000,8396000,8395000,0.656021
20171109014300,8395000,8393000,8395000,8389000,0.97930675
20171109014400,8392000,8386000,8392000,8386000,1.6190423
20171109014500,8390000,8383000,8390000,8383000,1.1266588
20171109014600,8384000,8384000,8386000,8384000,0.645026
20171109014700,8386000,8384000,8386000,8384000,1.14470274
20171109014800,8391000,8391000,8391000,8384000,0.420189
20171109014900,8385000,8383000,8390000,8382000,1.07551522
20171109015000,8388000,8386000,8388000,8386000,0.794014
20171109015100,8385000,8387000,8388000,8385000,0.89504352
20171109015200,8382000,8385000,8386000,8382000,0.63992635
20171109015300,8384000,8383000,8384000,8383000,0.86073247
20171109015400,8388000,8384000,8388000,8384000,0.841614
20171109015500,8383000,8382000,8383000,8382000,0.92451493
20171109015600,8383000,8383000,8387000,8383000,0.8477879999999999
20171109015700,8383000,8387000,8387000,8383000,0.8445860000000001
