Datetime,Open,High,Low,Close,Volume
2018-07-09 09:30:00-04:00,189.42,190.66,189.32,189.69,6259357
2018-07-09 10:30:00-04:00,189.77,190.35,189.68,190.31,2261079
2018-07-09 11:30:00-04:00,190.33,190.49,190.01,190.06,1792675
2018-07-09 12:30:00-04:00,190.06,190.25,189.74,190.22,1461300
2018-07-09 13:30:00-04:00,190.18,190.37,189.98,190.18,1188417
2018-07-09 14:30:00-04:00,190.18,190.53,190.11,190.48,1711225
2018-07-09 15:30:00-04:00,190.46,190.66,190.35,190.6,2112021
2018-07-10 09:30:00-04:00,190.83,191.12,190.24,190.93,4064518
2018-07-10 10:30:00-04:00,190.89,191.2,190.76,191.05,2385776
2018-07-10 11:30:00-04:00,191.02,191.27,190.82,191.07,1494489
2018-07-10 12:30:00-04:00,191.08,191.1,190.52,190.64,1222032
2018-07-10 13:30:00-04:00,190.63,190.67,190.28,190.42,1430570
2018-07-10 14:30:00-04:00,190.44,190.81,190.25,190.64,1244122
2018-07-10 15:30:00-04:00,190.67,190.78,190.19,190.38,1693592
2018-07-11 09:30:00-04:00,188.62,189.77,188.35,188.95,4467750
2018-07-11 10:30:00-04:00,188.96,189.1,188.32,188.41,2258286
2018-07-11 11:30:00-04:00,188.4,188.41,187.79,188.07,2160655
2018-07-11 12:30:00-04:00,188.01,188.51,187.82,188.44,1407780
2018-07-11 13:30:00-04:00,188.46,188.56,187.86,188.26,1264883
2018-07-11 14:30:00-04:00,188.3,188.37,187.86,187.92,1569364
2018-07-11 15:30:00-04:00,187.93,188.07,187.67,187.92,2612491
2018-07-12 09:30:00-04:00,189.44,190.55,189.4,190.41,4238014
2018-07-12 10:30:00-04:00,190.42,190.65,189.99,190.48,2126755
2018-07-12 11:30:00-04:00,190.51,191.3,190.39,191.03,2280869
2018-07-12 12:30:00-04:00,191.05,191.4,190.66,191.13,1920121
2018-07-12 13:30:00-04:00,191.15,191.16,190.58,190.98,1107120
2018-07-12 14:30:00-04:00,190.97,191.15,190.72,190.92,1583213
2018-07-12 15:30:00-04:00,190.93,191.14,190.58,191.03,2165180
2018-07-13 09:30:00-04:00,191.14,191.82,190.93,191.54,3267662
2018-07-13 10:30:00-04:00,191.55,191.75,191.33,191.47,1390007
2018-07-13 11:30:00-04:00,191.51,191.79,191.37,191.68,1379301
2018-07-13 12:30:00-04:00,191.68,191.68,191.12,191.25,998125
2018-07-13 13:30:00-04:00,191.26,191.52,190.96,191.49,1370277
2018-07-13 14:30:00-04:00,191.47,191.59,191.3,191.43,1084528
2018-07-13 15:30:00-04:00,191.43,191.63,191.33,191.33,1516259
2018-07-16 09:30:00-04:00,191.65,192.62,191.56,191.81,3909576
2018-07-16 10:30:00-04:00,191.85,191.95,191.14,191.2,1839476
