Datetime,Open,High,Low,Close,Volume
2018-07-09 09:30:00-04:00,204.8,205.75,202.16,203.01,6984233
2018-07-09 10:30:00-04:00,203.04,204.11,202.64,203.86,2239385
2018-07-09 11:30:00-04:00,203.81,204.48,203.42,203.68,1875130
2018-07-09 12:30:00-04:00,203.72,204.87,203.42,204.73,1267707
2018-07-09 13:30:00-04:00,204.74,205.17,204.55,204.97,1463225
2018-07-09 14:30:00-04:00,205.01,205.22,204.47,204.7,1506813
2018-07-09 15:30:00-04:00,204.71,204.81,204.43,204.81,1714875
2018-07-10 09:30:00-04:00,204.27,204.88,203.29,203.83,3395583
2018-07-10 10:30:00-04:00,203.81,204.5,203.8,204.03,1695840
2018-07-10 11:30:00-04:00,204.0,204.27,203.84,203.98,909810
2018-07-10 12:30:00-04:00,203.97,204.01,202.87,202.93,1331261
2018-07-10 13:30:00-04:00,202.9,203.1,202.26,202.99,1696791
2018-07-10 14:30:00-04:00,202.97,203.78,202.94,203.49,1310868
2018-07-10 15:30:00-04:00,203.51,203.85,203.09,203.52,1266190
2018-07-11 09:30:00-04:00,202.13,204.21,201.76,204.21,3932514
2018-07-11 10:30:00-04:00,204.16,204.48,202.7,202.75,2104932
2018-07-11 11:30:00-04:00,202.68,203.37,202.4,202.94,1216145
2018-07-11 12:30:00-04:00,202.93,203.83,202.93,203.71,884966
2018-07-11 13:30:00-04:00,203.75,203.82,202.98,203.52,782691
2018-07-11 14:30:00-04:00,203.56,203.67,203.08,203.15,814272
2018-07-11 15:30:00-04:00,203.19,203.3,202.22,202.5,1752493
2018-07-12 09:30:00-04:00,203.44,205.8,203.22,205.7,3964531
2018-07-12 10:30:00-04:00,205.72,206.34,205.41,206.12,2069432
2018-07-12 11:30:00-04:00,206.13,206.5,205.66,206.07,1533765
2018-07-12 12:30:00-04:00,206.07,206.17,205.74,206.16,1319698
2018-07-12 13:30:00-04:00,206.15,206.62,205.96,206.53,1413491
2018-07-12 14:30:00-04:00,206.53,206.71,205.93,206.12,2523142
2018-07-12 15:30:00-04:00,206.12,207.04,206.12,206.91,1836043
2018-07-13 09:30:00-04:00,207.86,208.41,206.49,207.23,4008425
2018-07-13 10:30:00-04:00,207.2,207.93,207.03,207.89,1243264
2018-07-13 11:30:00-04:00,207.95,207.95,207.23,207.66,1052320
2018-07-13 12:30:00-04:00,207.68,207.76,207.08,207.37,807339
2018-07-13 13:30:00-04:00,207.35,207.54,206.52,206.75,1001270
2018-07-13 14:30:00-04:00,206.7,207.47,206.66,207.43,963739
2018-07-13 15:30:00-04:00,207.4,207.57,207.22,207.32,1265823
2018-07-16 09:30:00-04:00,207.38,208.68,207.07,207.89,3014662
2018-07-16 10:30:00-04:00,207.87,208.24,207.33,207.55,1347060
2018-07-16 11:30:00-04:00,207.56,208.2,207.27,208.2,1018455
2018-07-16 12:30:00-04:00,208.22,208.27,207.6,207.75,725345
2018-07-16 13:30:00-04:00,207.71,208.19,207.66,207.72,744547
2018-07-16 14:30:00-04:00,207.7,207.96,206.9,207.04,1535996
2018-07-16 15:30:00-04:00,207.05,207.4,206.88,207.24,1389483
2018-07-17 09:30:00-04:00,204.89,207.89,204.87,207.55,4137657
2018-07-17 10:30:00-04:00,207.58,208.25,207.13,207.91,1741835
2018-07-17 11:30:00-04:00,207.96,209.32,207.76,209.23,1967839
2018-07-17 12:30:00-04:00,209.25,209.33,208.61,209.22,1367616
2018-07-17 13:30:00-04:00,209.18,209.29,208.82,209.18,1084998
2018-07-17 14:30:00-04:00,209.15,209.94,208.92,209.81,1614458
2018-07-17 15:30:00-04:00,209.82,210.44,209.64,210.0,2353596
2018-07-18 09:30:00-04:00,209.92,210.43,208.46,209.61,4311252
2018-07-18 10:30:00-04:00,209.56,209.77,208.97,209.4,2111687
2018-07-18 11:30:00-04:00,209.34,210.0,209.34,209.76,1590827
2018-07-18 12:30:00-04:00,209.78,210.98,209.78,210.92,1619289
2018-07-18 13:30:00-04:00,210.92,210.92,209.96,210.32,1279328
2018-07-18 14:30:00-04:00,210.34,210.34,209.7,209.85,1134175
2018-07-18 15:30:00-04:00,209.86,209.94,209.22,209.36,1526335
2018-07-19 09:30:00-04:00,208.79,209.97,208.43,208.77,2918027
2018-07-19 10:30:00-04:00,208.73,209.17,208.15,209.04,1483608
2018-07-19 11:30:00-04:00,209.1,209.34,208.44,208.48,972060
2018-07-19 12:30:00-04:00,208.52,208.53,207.85,208.13,989919
2018-07-19 13:30:00-04:00,208.12,208.64,208.06,208.23,832465
2018-07-19 14:30:00-04:00,208.27,208.35,207.78,208.03,898683
2018-07-19 15:30:00-04:00,208.06,208.32,207.89,208.08,1012120
2018-07-20 09:30:00-04:00,208.81,210.19,208.5,209.85,3742649
2018-07-20 10:30:00-04:00,209.85,211.31,209.78,211.0,3377353
2018-07-20 11:30:00-04:00,211.01,211.1,209.96,210.03,1495069
2018-07-20 12:30:00-04:00,210.04,210.57,209.75,210.15,1228764
2018-07-20 13:30:00-04:00,210.16,210.45,209.93,210.02,1160267
2018-07-20 14:30:00-04:00,210.02,210.07,209.56,209.71,1537189
2018-07-20 15:30:00-04:00,209.74,210.03,209.58,209.9,1665864
2018-07-23 09:30:00-04:00,210.7,211.23,208.84,209.8,5213953
2018-07-23 10:30:00-04:00,209.79,210.27,209.45,210.19,1985722
2018-07-23 11:30:00-04:00,210.17,211.29,210.16,210.98,1454699
2018-07-23 12:30:00-04:00,211.01,211.47,210.88,211.1,1039641
2018-07-23 13:30:00-04:00,211.12,211.61,211.04,211.21,1235970
2018-07-23 14:30:00-04:00,211.19,211.25,210.59,211.12,1682652
2018-07-23 15:30:00-04:00,211.16,211.25,210.77,210.91,1579531
2018-07-24 09:30:00-04:00,215.1,216.2,214.37,216.02,8404984
2018-07-24 10:30:00-04:00,216.06,216.13,213.81,214.87,4661081
2018-07-24 11:30:00-04:00,214.83,214.89,213.46,214.32,3094753
2018-07-24 12:30:00-04:00,214.32,214.66,213.02,213.34,3119206
2018-07-24 13:30:00-04:00,213.37,214.04,212.6,213.8,2209174
2018-07-24 14:30:00-04:00,213.82,214.01,213.21,213.85,2135326
2018-07-24 15:30:00-04:00,213.87,214.89,213.77,214.67,2729750
2018-07-25 09:30:00-04:00,215.77,216.6,214.31,214.95,6838308
2018-07-25 10:30:00-04:00,214.99,215.83,214.66,215.76,2779256
2018-07-25 11:30:00-04:00,215.79,217.21,215.61,217.21,3915651
2018-07-25 12:30:00-04:00,217.23,218.52,217.23,217.87,4086347
2018-07-25 13:30:00-04:00,217.87,217.94,217.05,217.19,2680443
2018-07-25 14:30:00-04:00,217.22,218.14,217.18,217.65,3703676
2018-07-25 15:30:00-04:00,217.65,218.62,217.46,217.5,5078409
2018-07-26 09:30:00-04:00,175.0,180.1,174.85,176.11,75384967
2018-07-26 10:30:00-04:00,176.13,177.47,175.06,176.95,24687641
2018-07-26 11:30:00-04:00,176.94,178.87,176.5,177.99,14961019
2018-07-26 12:30:00-04:00,177.98,178.14,175.5,175.51,10842712
2018-07-26 13:30:00-04:00,175.51,176.3,175.0,175.1,10703521
2018-07-26 14:30:00-04:00,175.1,175.89,173.75,175.51,16843126
2018-07-26 15:30:00-04:00,175.48,177.88,175.1,176.27,11391586
2018-07-27 09:30:00-04:00,179.87,179.92,176.41,177.34,20395526
2018-07-27 10:30:00-04:00,177.32,177.4,175.0,175.08,9692495
2018-07-27 11:30:00-04:00,175.08,175.93,175.0,175.3,5133055
2018-07-27 12:30:00-04:00,175.3,175.36,173.0,173.3,8823491
2018-07-27 13:30:00-04:00,173.3,174.28,173.13,173.46,4797657
2018-07-27 14:30:00-04:00,173.43,175.2,173.25,174.41,4764260
2018-07-27 15:30:00-04:00,174.43,175.4,174.43,174.87,4799345
2018-07-30 09:30:00-04:00,175.25,175.25,167.68,168.44,21699665
2018-07-30 10:30:00-04:00,168.43,169.71,167.25,167.29,11564892
2018-07-30 11:30:00-04:00,167.32,168.64,167.23,168.06,6249201
2018-07-30 12:30:00-04:00,168.08,168.44,166.57,167.91,6885320
2018-07-30 13:30:00-04:00,167.89,168.84,167.66,168.57,4051992
2018-07-30 14:30:00-04:00,168.56,170.17,168.16,170.06,5887323
2018-07-30 15:30:00-04:00,170.06,171.5,169.95,171.08,6853676
2018-07-31 09:30:00-04:00,170.66,172.75,170.2,170.78,10687751
2018-07-31 10:30:00-04:00,170.84,173.47,170.84,173.25,6709068
2018-07-31 11:30:00-04:00,173.24,174.22,172.84,173.85,6453567
2018-07-31 12:30:00-04:00,173.84,173.88,172.22,172.68,4323141
2018-07-31 13:30:00-04:00,172.64,173.37,172.38,173.07,2890862
2018-07-31 14:30:00-04:00,173.08,173.18,172.59,172.83,3161333
2018-07-31 15:30:00-04:00,172.85,172.86,172.26,172.56,3672181
2018-08-01 09:30:00-04:00,174.0,175.08,173.45,174.31,9486865
2018-08-01 10:30:00-04:00,174.35,174.47,172.61,172.78,4764083
