Datetime,Open,High,Low,Close,Volume
2018-07-09 09:30:00-04:00,311.94,316.97,308.07,309.13,2754101
2018-07-09 10:30:00-04:00,309.68,313.74,309.3,311.72,1069965
2018-07-09 11:30:00-04:00,311.6,312.01,310.0,311.37,568028
2018-07-09 12:30:00-04:00,311.2,312.65,310.52,312.65,521114
2018-07-09 13:30:00-04:00,312.69,315.54,312.15,315.08,652479
2018-07-09 14:30:00-04:00,315.0,316.55,314.5,315.72,820233
2018-07-09 15:30:00-04:00,315.6,318.49,315.2,318.43,963261
2018-07-10 09:30:00-04:00,324.63,327.66,320.01,323.88,3877244
2018-07-10 10:30:00-04:00,324.2,325.72,322.41,323.47,1523356
2018-07-10 11:30:00-04:00,323.4,324.8,320.91,321.54,981459
2018-07-10 12:30:00-04:00,321.37,322.4,320.02,321.41,781596
2018-07-10 13:30:00-04:00,321.43,322.2,319.21,321.69,861424
2018-07-10 14:30:00-04:00,321.83,323.12,321.04,321.81,678175
2018-07-10 15:30:00-04:00,322.0,322.73,321.55,322.39,586696
2018-07-11 09:30:00-04:00,315.5,319.17,315.07,318.86,1786106
2018-07-11 10:30:00-04:00,318.79,320.74,317.33,320.52,783017
2018-07-11 11:30:00-04:00,320.34,321.81,319.48,320.64,616741
2018-07-11 12:30:00-04:00,320.83,321.69,318.44,319.66,516110
2018-07-11 13:30:00-04:00,319.8,320.93,318.75,318.84,260242
2018-07-11 14:30:00-04:00,318.98,318.98,317.89,318.52,366488
2018-07-11 15:30:00-04:00,318.63,319.24,318.3,319.02,441842
2018-07-12 09:30:00-04:00,320.87,323.09,316.52,317.53,1632915
2018-07-12 10:30:00-04:00,317.47,317.49,312.81,314.59,1417204
2018-07-12 11:30:00-04:00,314.63,315.64,313.71,313.95,607348
2018-07-12 12:30:00-04:00,313.8,314.96,312.96,314.95,410874
2018-07-12 13:30:00-04:00,314.85,315.75,314.14,315.42,488606
2018-07-12 14:30:00-04:00,315.24,315.41,313.91,314.91,466054
2018-07-12 15:30:00-04:00,314.82,317.0,314.5,316.76,595758
2018-07-13 09:30:00-04:00,315.16,317.39,309.32,311.92,1798239
2018-07-13 10:30:00-04:00,311.98,316.15,311.2,315.8,1147719
2018-07-13 11:30:00-04:00,316.0,318.0,315.42,317.14,739755
2018-07-13 12:30:00-04:00,317.06,317.76,315.06,315.81,456061
2018-07-13 13:30:00-04:00,315.69,316.1,314.05,315.93,292618
2018-07-13 14:30:00-04:00,315.83,319.58,315.79,318.78,779951
2018-07-13 15:30:00-04:00,318.8,319.24,318.31,318.87,569700
2018-07-16 09:30:00-04:00,311.8,314.96,307.33,309.74,2856398
2018-07-16 10:30:00-04:00,309.74,309.75,306.38,308.24,1342813
2018-07-16 11:30:00-04:00,308.15,308.41,306.68,308.04,718279
2018-07-16 12:30:00-04:00,308.04,309.5,307.23,307.62,719423
2018-07-16 13:30:00-04:00,307.65,308.71,306.83,307.26,606902
2018-07-16 14:30:00-04:00,307.44,308.59,307.36,308.54,568051
2018-07-16 15:30:00-04:00,308.54,310.45,308.54,310.14,866067
2018-07-17 09:30:00-04:00,308.9,314.7,308.9,312.49,1787197
2018-07-17 10:30:00-04:00,312.17,315.62,311.94,314.69,951326
2018-07-17 11:30:00-04:00,314.78,316.35,313.82,315.95,466100
2018-07-17 12:30:00-04:00,315.89,323.5,315.78,322.96,1192764
2018-07-17 13:30:00-04:00,322.91,324.74,321.73,322.4,1068512
2018-07-17 14:30:00-04:00,322.7,323.35,320.67,322.08,642582
2018-07-17 15:30:00-04:00,322.24,323.93,321.9,322.73,721056
2018-07-18 09:30:00-04:00,324.32,324.76,316.39,319.39,1646063
2018-07-18 10:30:00-04:00,319.4,321.95,317.81,320.53,867171
2018-07-18 11:30:00-04:00,320.08,322.46,319.7,322.12,410460
2018-07-18 12:30:00-04:00,321.84,322.57,321.0,321.19,372535
2018-07-18 13:30:00-04:00,321.19,323.99,321.12,322.71,564183
2018-07-18 14:30:00-04:00,322.88,325.5,322.76,325.19,826149
2018-07-18 15:30:00-04:00,325.18,325.21,322.91,324.06,672520
2018-07-19 09:30:00-04:00,316.3,320.17,314.1,319.88,2300655
2018-07-19 10:30:00-04:00,320.1,320.1,316.43,316.7,808085
2018-07-19 11:30:00-04:00,316.76,318.52,315.6,318.08,562089
2018-07-19 12:30:00-04:00,318.11,323.13,317.79,321.28,605368
2018-07-19 13:30:00-04:00,321.58,323.54,320.24,320.76,571231
2018-07-19 14:30:00-04:00,320.76,321.41,318.24,320.04,439450
2018-07-19 15:30:00-04:00,319.96,321.45,319.96,320.22,528321
2018-07-20 09:30:00-04:00,320.88,322.99,316.5,317.76,1283065
2018-07-20 10:30:00-04:00,317.74,319.14,316.8,317.33,597363
2018-07-20 11:30:00-04:00,317.32,317.43,313.46,315.24,851681
2018-07-20 12:30:00-04:00,315.31,315.53,311.74,312.88,694246
2018-07-20 13:30:00-04:00,312.96,315.49,312.11,314.41,636713
2018-07-20 14:30:00-04:00,314.35,315.14,313.52,314.63,389495
2018-07-20 15:30:00-04:00,314.74,314.74,313.33,313.57,674055
2018-07-23 09:30:00-04:00,301.85,303.28,292.86,299.66,4989659
2018-07-23 10:30:00-04:00,300.0,303.76,298.33,300.51,1731342
2018-07-23 11:30:00-04:00,300.46,302.28,299.95,301.74,872808
2018-07-23 12:30:00-04:00,301.71,304.63,300.58,303.16,793401
2018-07-23 13:30:00-04:00,303.3,305.4,302.15,304.47,1002301
2018-07-23 14:30:00-04:00,304.3,305.5,301.07,301.16,718175
2018-07-23 15:30:00-04:00,301.22,303.52,300.93,303.19,712074
2018-07-24 09:30:00-04:00,304.7,307.55,300.1,301.2,2299623
2018-07-24 10:30:00-04:00,301.5,302.1,294.39,297.61,2468647
2018-07-24 11:30:00-04:00,297.8,298.06,294.51,295.9,997376
2018-07-24 12:30:00-04:00,296.07,296.83,292.58,293.75,1070248
2018-07-24 13:30:00-04:00,293.78,295.84,292.89,295.52,755616
2018-07-24 14:30:00-04:00,295.41,297.5,295.0,296.84,841668
2018-07-24 15:30:00-04:00,296.75,298.19,295.39,297.48,966324
2018-07-25 09:30:00-04:00,296.69,303.95,294.5,300.77,2181566
2018-07-25 10:30:00-04:00,300.81,302.34,298.97,301.34,871018
2018-07-25 11:30:00-04:00,301.4,302.37,298.75,300.47,659444
2018-07-25 12:30:00-04:00,300.37,301.41,299.56,300.94,372735
2018-07-25 13:30:00-04:00,301.02,304.83,300.64,304.83,741579
2018-07-25 14:30:00-04:00,304.83,306.65,304.37,305.19,917739
2018-07-25 15:30:00-04:00,305.18,309.53,304.85,308.87,1169140
2018-07-26 09:30:00-04:00,305.24,310.62,304.51,306.01,1497871
2018-07-26 10:30:00-04:00,306.14,308.72,304.73,308.38,669784
2018-07-26 11:30:00-04:00,308.23,308.57,305.22,305.64,476000
2018-07-26 12:30:00-04:00,305.69,306.13,303.71,304.52,502795
2018-07-26 13:30:00-04:00,304.54,306.32,304.0,305.44,349465
2018-07-26 14:30:00-04:00,305.23,306.46,304.74,306.07,320953
2018-07-26 15:30:00-04:00,306.12,306.72,305.28,306.33,554899
2018-07-27 09:30:00-04:00,307.62,307.62,300.81,301.6,1428691
2018-07-27 10:30:00-04:00,301.88,302.11,299.08,300.45,886262
2018-07-27 11:30:00-04:00,300.29,302.73,298.61,298.87,574456
2018-07-27 12:30:00-04:00,298.97,299.13,295.43,297.05,849650
2018-07-27 13:30:00-04:00,297.0,299.46,296.11,297.41,529556
2018-07-27 14:30:00-04:00,297.48,299.05,296.86,297.54,535392
2018-07-27 15:30:00-04:00,297.22,298.55,297.19,297.19,724393
2018-07-30 09:30:00-04:00,295.9,296.0,288.91,290.82,2368790
2018-07-30 10:30:00-04:00,290.88,294.31,289.39,289.47,1177121
2018-07-30 11:30:00-04:00,289.63,289.63,287.32,288.14,746662
2018-07-30 12:30:00-04:00,288.21,289.58,286.18,289.58,768139
2018-07-30 13:30:00-04:00,289.44,291.21,288.0,290.6,571714
2018-07-30 14:30:00-04:00,290.66,291.29,289.91,290.89,512504
2018-07-30 15:30:00-04:00,290.98,291.33,289.7,290.17,498503
2018-07-31 09:30:00-04:00,292.0,297.99,289.07,290.45,1528841
2018-07-31 10:30:00-04:00,290.88,294.56,290.76,293.56,605016
2018-07-31 11:30:00-04:00,293.7,296.76,292.94,296.1,564781
2018-07-31 12:30:00-04:00,295.96,297.51,295.67,295.87,455976
2018-07-31 13:30:00-04:00,295.89,297.59,295.23,297.47,427703
2018-07-31 14:30:00-04:00,297.35,297.74,295.61,296.11,479734
2018-07-31 15:30:00-04:00,296.15,298.2,295.67,298.08,732679
2018-08-01 09:30:00-04:00,296.54,303.0,293.11,300.34,1955731
2018-08-01 10:30:00-04:00,300.3,300.99,297.4,297.43,778064
2018-08-01 11:30:00-04:00,297.3,297.8,295.82,295.82,653669
2018-08-01 12:30:00-04:00,295.63,297.77,295.36,296.65,502275
2018-08-01 13:30:00-04:00,296.67,297.67,295.75,297.67,612648
2018-08-01 14:30:00-04:00,297.75,303.0,296.47,301.87,1302621
2018-08-01 15:30:00-04:00,301.81,302.3,300.53,301.47,1235599
2018-08-02 09:30:00-04:00,328.78,333.93,323.18,330.05,8508290
2018-08-02 10:30:00-04:00,329.92,332.38,326.74,330.68,2124831
2018-08-02 11:30:00-04:00,330.66,337.5,328.72,337.03,2428832
2018-08-02 12:30:00-04:00,337.04,341.49,336.66,341.42,2375871
2018-08-02 13:30:00-04:00,341.42,345.44,340.1,341.4,2498689
2018-08-02 14:30:00-04:00,341.26,347.36,340.89,344.04,2505172
2018-08-02 15:30:00-04:00,344.35,349.97,343.2,349.38,2452844
2018-08-03 09:30:00-04:00,347.75,353.48,342.6,353.3,4873564
2018-08-03 10:30:00-04:00,353.51,355.0,348.25,349.16,3023446
2018-08-03 11:30:00-04:00,349.12,349.8,346.66,349.16,1295486
2018-08-03 12:30:00-04:00,349.12,351.4,348.15,351.4,1171559
2018-08-03 13:30:00-04:00,351.28,351.6,348.34,349.64,980952
2018-08-03 14:30:00-04:00,349.64,350.45,348.32,348.66,793799
2018-08-03 15:30:00-04:00,348.65,348.87,347.28,348.28,1310718
2018-08-06 09:30:00-04:00,344.91,354.98,343.99,352.46,2746237
2018-08-06 10:30:00-04:00,352.3,352.33,348.25,348.54,1284953
2018-08-06 11:30:00-04:00,348.31,350.0,346.41,348.61,1327541
2018-08-06 12:30:00-04:00,348.48,349.64,347.8,349.19,593164
2018-08-06 13:30:00-04:00,349.24,350.22,347.64,348.98,698248
2018-08-06 14:30:00-04:00,348.96,349.27,345.27,345.48,656137
2018-08-06 15:30:00-04:00,345.65,345.83,341.86,341.98,1072988
2018-08-07 09:30:00-04:00,343.1,346.72,339.15,345.83,2194659
2018-08-07 10:30:00-04:00,345.86,346.17,340.53,341.8,856736
2018-08-07 11:30:00-04:00,341.73,356.0,340.71,355.88,2660011
2018-08-07 12:30:00-04:00,355.94,371.12,354.67,360.3,11261251
2018-08-07 13:30:00-04:00,360.29,370.0,358.75,367.25,4729644
2018-08-07 15:30:00-04:00,369.75,387.44,367.52,379.56,8104184
2018-08-08 09:30:00-04:00,369.19,382.57,367.12,376.4,11085448
2018-08-08 10:30:00-04:00,376.4,379.7,373.04,374.03,3072668
2018-08-08 11:30:00-04:00,374.28,375.67,369.04,370.27,2332421
2018-08-08 12:30:00-04:00,370.31,375.7,370.31,373.51,1776184
2018-08-08 13:30:00-04:00,373.95,375.67,370.2,374.87,1925872
2018-08-08 14:30:00-04:00,374.92,375.15,371.81,372.33,1424962
2018-08-08 15:30:00-04:00,372.41,373.09,367.7,370.38,2725787
2018-08-09 09:30:00-04:00,365.65,367.01,358.51,359.99,4021700
2018-08-09 10:30:00-04:00,360.0,362.0,354.52,357.06,2649002
2018-08-09 11:30:00-04:00,357.05,358.55,353.51,354.17,1837956
2018-08-09 12:30:00-04:00,354.35,355.92,352.5,353.65,1511012
2018-08-09 13:30:00-04:00,353.5,353.78,345.78,346.94,2683336
2018-08-09 14:30:00-04:00,346.78,353.19,346.58,351.5,2273718
2018-08-09 15:30:00-04:00,351.51,353.08,349.38,352.27,1328311
2018-08-10 09:30:00-04:00,353.51,353.61,346.1,349.51,2751016
2018-08-10 10:30:00-04:00,349.64,354.17,348.41,353.38,1251810
2018-08-10 11:30:00-04:00,353.24,359.25,353.24,357.32,2074696
2018-08-10 12:30:00-04:00,357.23,357.68,352.91,355.07,1040541
2018-08-10 13:30:00-04:00,355.06,355.65,353.13,355.24,806363
2018-08-10 14:30:00-04:00,355.19,360.0,351.3,353.64,2432627
2018-08-10 15:30:00-04:00,353.68,356.68,352.35,355.54,1061106
2018-08-13 09:30:00-04:00,360.84,363.0,353.5,353.61,4037801
2018-08-13 10:30:00-04:00,353.85,355.97,349.97,351.47,1310773
2018-08-13 11:30:00-04:00,351.46,353.7,349.13,353.13,974026
2018-08-13 12:30:00-04:00,353.25,357.45,352.61,356.22,1161739
2018-08-13 13:30:00-04:00,356.45,359.83,355.81,359.7,1166490
2018-08-13 14:30:00-04:00,359.61,360.0,356.01,357.07,1038950
2018-08-13 15:30:00-04:00,357.04,358.06,355.65,356.29,684142
2018-08-14 09:30:00-04:00,358.15,359.05,351.0,352.54,1939544
2018-08-14 10:30:00-04:00,352.47,356.88,352.47,356.5,894588
2018-08-14 11:30:00-04:00,356.45,358.3,355.34,356.75,734516
2018-08-14 12:30:00-04:00,356.74,356.83,353.0,353.58,734309
2018-08-14 13:30:00-04:00,353.71,354.49,351.84,353.28,681025
2018-08-14 14:30:00-04:00,353.14,354.07,350.5,351.59,725314
2018-08-14 15:30:00-04:00,351.5,351.54,347.2,347.53,1128973
2018-08-15 09:30:00-04:00,341.66,344.49,337.35,337.82,2311206
2018-08-15 10:30:00-04:00,337.9,340.29,332.15,334.13,2028795
2018-08-15 11:30:00-04:00,334.74,342.66,333.42,338.5,1991631
2018-08-15 12:30:00-04:00,338.39,340.16,335.16,336.55,849247
2018-08-15 13:30:00-04:00,336.8,338.48,334.9,336.14,548189
2018-08-15 14:30:00-04:00,336.38,338.37,336.0,338.05,567140
2018-08-15 15:30:00-04:00,338.03,339.33,337.07,338.76,691062
2018-08-16 09:30:00-04:00,339.9,340.09,333.86,336.11,1622393
2018-08-16 10:30:00-04:00,336.42,341.63,336.04,341.63,1055898
2018-08-16 11:30:00-04:00,341.56,342.25,337.3,337.95,1045812
2018-08-16 12:30:00-04:00,337.82,338.5,336.0,336.21,527382
2018-08-16 13:30:00-04:00,336.02,336.87,334.82,335.31,719757
2018-08-16 14:30:00-04:00,335.25,336.88,335.17,335.75,441885
2018-08-16 15:30:00-04:00,335.67,336.4,335.0,335.39,502100
2018-08-17 09:30:00-04:00,322.5,326.4,309.06,309.62,6104577
2018-08-17 10:30:00-04:00,309.71,311.85,305.78,311.62,3512058
2018-08-17 11:30:00-04:00,311.69,314.0,309.0,309.0,2099009
2018-08-17 12:30:00-04:00,309.14,309.83,306.36,309.2,1581279
2018-08-17 13:30:00-04:00,309.22,309.4,304.5,307.14,1943673
2018-08-17 14:30:00-04:00,307.28,308.5,304.68,305.12,1558893
2018-08-17 15:30:00-04:00,305.18,305.74,303.62,305.48,1879074
2018-08-20 09:30:00-04:00,292.36,302.76,288.26,301.18,7112871
2018-08-20 10:30:00-04:00,301.49,307.63,299.96,300.64,2789419
2018-08-20 11:30:00-04:00,300.56,304.12,297.78,299.4,1510683
2018-08-20 12:30:00-04:00,299.26,301.99,297.46,299.05,1238008
2018-08-20 13:30:00-04:00,298.89,300.94,297.43,300.0,767922
2018-08-20 14:30:00-04:00,300.29,305.55,299.6,305.55,1421335
2018-08-20 15:30:00-04:00,305.37,308.45,300.2,308.44,2060615
2018-08-21 09:30:00-04:00,310.51,320.78,309.0,318.86,3699034
2018-08-21 10:30:00-04:00,319.03,324.77,316.43,316.53,3212927
2018-08-21 11:30:00-04:00,316.62,321.3,316.14,320.3,1957351
2018-08-21 12:30:00-04:00,320.48,323.59,319.69,320.95,1214179
2018-08-21 13:30:00-04:00,320.98,321.7,318.31,319.39,755344
2018-08-21 14:30:00-04:00,319.39,320.81,317.5,319.3,965649
2018-08-21 15:30:00-04:00,319.36,322.5,319.1,321.85,1193154
2018-08-22 09:30:00-04:00,320.94,323.08,314.87,315.34,1785611
2018-08-22 10:30:00-04:00,315.3,318.54,314.67,317.66,1106169
2018-08-22 11:30:00-04:00,317.7,320.38,317.4,319.38,790817
2018-08-22 12:30:00-04:00,319.42,320.92,318.42,320.01,511574
2018-08-22 13:30:00-04:00,320.11,320.79,318.97,319.72,340770
2018-08-22 14:30:00-04:00,319.99,323.73,319.52,322.86,818376
2018-08-22 15:30:00-04:00,322.88,322.9,321.2,321.52,572270
2018-08-23 09:30:00-04:00,318.35,327.24,318.35,324.25,1733599
2018-08-23 10:30:00-04:00,323.9,324.94,320.31,321.33,876765
2018-08-23 11:30:00-04:00,321.54,322.86,320.0,322.6,633608
2018-08-23 12:30:00-04:00,322.58,323.0,320.72,322.71,383678
2018-08-23 13:30:00-04:00,322.7,323.37,321.06,321.22,334516
2018-08-23 14:30:00-04:00,321.12,321.45,320.0,320.84,384380
2018-08-23 15:30:00-04:00,320.97,320.97,319.0,320.12,561434
2018-08-24 09:30:00-04:00,320.5,323.7,319.56,322.25,1230115
2018-08-24 10:30:00-04:00,322.29,323.37,321.37,321.78,542437
2018-08-24 11:30:00-04:00,321.82,321.89,320.8,321.09,324500
2018-08-24 12:30:00-04:00,320.91,322.05,320.71,321.01,246239
2018-08-24 13:30:00-04:00,320.98,321.75,320.95,321.21,212037
2018-08-24 14:30:00-04:00,321.18,322.61,321.18,322.06,392143
2018-08-24 15:30:00-04:00,322.02,323.5,321.85,322.81,579672
2018-08-27 09:30:00-04:00,319.16,322.36,311.7,311.74,5477737
2018-08-27 10:30:00-04:00,311.84,314.33,308.84,313.99,2422984
2018-08-27 11:30:00-04:00,314.14,318.03,313.57,316.96,1403117
2018-08-27 12:30:00-04:00,317.12,318.7,315.68,315.99,977117
2018-08-27 13:30:00-04:00,315.92,318.7,315.89,317.1,758447
2018-08-27 14:30:00-04:00,317.04,317.9,314.84,317.88,857184
2018-08-27 15:30:00-04:00,317.89,319.61,317.5,319.44,1013846
2018-08-28 09:30:00-04:00,318.55,318.74,311.2,315.0,2580080
2018-08-28 10:30:00-04:00,314.85,317.4,313.33,317.1,1156790
2018-08-28 11:30:00-04:00,317.22,317.5,315.42,316.1,841779
2018-08-28 12:30:00-04:00,316.27,318.04,314.5,314.86,745888
2018-08-28 13:30:00-04:00,314.73,315.64,313.6,314.62,651442
2018-08-28 14:30:00-04:00,314.68,315.66,313.2,313.44,693434
2018-08-28 15:30:00-04:00,313.45,313.55,311.86,311.86,850995
2018-08-29 09:30:00-04:00,310.16,311.75,307.0,308.14,1827333
2018-08-29 10:30:00-04:00,308.19,310.15,308.01,309.06,736632
2018-08-29 11:30:00-04:00,308.81,308.86,304.28,304.72,1346709
2018-08-29 12:30:00-04:00,304.74,306.25,303.7,305.3,1067747
2018-08-29 13:30:00-04:00,305.18,306.7,304.16,305.72,825089
2018-08-29 14:30:00-04:00,305.57,306.0,304.16,304.9,674277
2018-08-29 15:30:00-04:00,304.78,305.82,304.43,305.01,817340
2018-08-30 09:30:00-04:00,302.42,304.05,297.74,301.15,2445758
2018-08-30 10:30:00-04:00,300.98,304.53,299.99,300.77,1096788
2018-08-30 11:30:00-04:00,300.73,301.3,299.3,300.38,606700
2018-08-30 12:30:00-04:00,300.45,301.0,298.5,299.34,663146
2018-08-30 13:30:00-04:00,299.4,300.1,298.9,299.71,591230
2018-08-30 14:30:00-04:00,299.66,301.95,299.66,300.93,847730
2018-08-30 15:30:00-04:00,301.0,303.43,300.59,303.18,862363
2018-08-31 09:30:00-04:00,301.81,305.19,299.1,300.89,1644546
2018-08-31 10:30:00-04:00,300.92,301.08,299.36,299.76,745943
2018-08-31 11:30:00-04:00,299.8,299.99,298.6,299.0,604751
2018-08-31 12:30:00-04:00,299.0,300.27,298.8,299.74,455599
2018-08-31 13:30:00-04:00,299.77,301.78,299.6,301.13,571392
2018-08-31 14:30:00-04:00,301.01,301.01,299.61,300.56,488297
2018-08-31 15:30:00-04:00,300.62,301.94,300.51,301.7,840881
2018-09-04 09:30:00-04:00,296.92,298.02,292.69,296.39,2486348
2018-09-04 10:30:00-04:00,296.12,297.37,293.89,294.04,882745
2018-09-04 11:30:00-04:00,293.82,294.65,292.33,292.65,932363
2018-09-04 12:30:00-04:00,292.73,293.84,290.0,290.6,1028859
2018-09-04 13:30:00-04:00,290.69,290.79,288.0,289.37,1252190
2018-09-04 14:30:00-04:00,289.37,290.97,289.0,289.43,699935
2018-09-04 15:30:00-04:00,289.36,289.36,288.28,288.98,869623
2018-09-05 09:30:00-04:00,285.39,286.77,277.95,279.95,2790943
2018-09-05 10:30:00-04:00,280.06,283.6,277.18,281.12,1583775
2018-09-05 11:30:00-04:00,281.06,281.8,279.35,281.8,696104
2018-09-05 12:30:00-04:00,281.89,282.94,279.38,279.46,595364
2018-09-05 13:30:00-04:00,279.52,281.5,279.17,280.9,587391
2018-09-05 14:30:00-04:00,281.03,283.16,280.6,281.05,600969
2018-09-05 15:30:00-04:00,281.13,282.1,280.02,280.7,802579
2018-09-06 09:30:00-04:00,284.59,291.12,284.59,289.32,2465554
