,0,1
0,20200101,sell
1,20200102,buy
2,20200106,sell
3,20200107,sell
4,20200113,buy
5,20200114,buy
6,20200114,sell
7,20200115,buy
8,20200115,sell
9,20200116,buy
10,20200116,sell
11,20200117,buy
12,20200117,sell
13,20200118,buy
14,20200118,sell
15,20200119,buy
16,20200119,sell
17,20200120,buy
18,20200121,buy
19,20200121,sell
20,20200122,buy
21,20200123,buy
22,20200124,buy
23,20200125,buy
24,20200126,buy
25,20200127,buy
26,20200128,buy
27,20200128,sell
28,20200129,buy
29,20200129,sell
30,20200130,buy
31,20200130,sell
32,20200131,buy
33,20200131,sell
34,20200201,buy
35,20200201,sell
36,20200202,buy
37,20200202,sell
38,20200203,buy
39,20200203,sell
40,20200204,buy
41,20200205,buy
42,20200205,sell
43,20200206,buy
44,20200206,sell
45,20200207,buy
46,20200207,sell
47,20200208,buy
48,20200208,sell
49,20200209,buy
50,20200209,sell
51,20200210,buy
52,20200210,sell
53,20200211,buy
54,20200211,sell
55,20200212,buy
56,20200212,sell
57,20200213,buy
58,20200213,sell
59,20200214,buy
60,20200214,sell
61,20200215,buy
62,20200216,buy
63,20200217,buy
64,20200218,buy
65,20200219,sell
66,20200220,sell
67,20200221,sell
68,20200222,sell
69,20200223,sell
70,20200224,sell
71,20200225,sell
72,20200226,sell
73,20200227,sell
74,20200228,sell
75,20200229,sell
76,20200301,sell
77,20200302,sell
78,20200303,sell
79,20200304,sell
80,20200305,sell
81,20200306,sell
82,20200307,sell
83,20200308,sell
84,20200309,sell
85,20200310,buy
86,20200310,sell
87,20200311,buy
88,20200311,sell
89,20200312,buy
90,20200312,sell
91,20200313,buy
92,20200313,sell
93,20200314,buy
94,20200314,sell
95,20200315,buy
96,20200315,sell
97,20200316,buy
98,20200316,sell
99,20200317,buy
100,20200317,sell
101,20200318,buy
102,20200318,sell
103,20200319,sell
104,20200320,sell
105,20200321,sell
106,20200322,sell
107,20200323,sell
108,20200324,buy
109,20200325,buy
110,20200326,buy
111,20200327,buy
112,20200328,buy
113,20200329,buy
114,20200330,buy
115,20200331,buy
116,20200401,buy
117,20200402,buy
118,20200403,buy
119,20200404,buy
120,20200405,sell
121,20200406,buy
122,20200407,buy
123,20200408,buy
124,20200409,buy
125,20200410,buy
126,20200411,buy
127,20200412,buy
128,20200413,buy
129,20200414,buy
130,20200415,sell
131,20200416,buy
132,20200417,buy
133,20200418,sell
134,20200420,sell
135,20200421,sell
136,20200422,buy
137,20200423,buy
138,20200424,buy
139,20200425,buy
140,20200426,buy
141,20200427,buy
142,20200428,buy
143,20200429,buy
144,20200429,sell
145,20200430,buy
146,20200430,sell
147,20200501,buy
148,20200501,sell
149,20200502,buy
150,20200502,sell
151,20200503,buy
152,20200503,sell
153,20200504,buy
154,20200504,sell
155,20200505,buy
156,20200505,sell
157,20200506,buy
158,20200506,sell
159,20200507,buy
160,20200507,sell
161,20200508,buy
162,20200508,sell
163,20200509,buy
164,20200509,sell
165,20200510,buy
166,20200511,sell
167,20200512,buy
168,20200513,buy
169,20200514,buy
170,20200515,buy
171,20200516,buy
172,20200517,buy
173,20200518,buy
174,20200519,sell
175,20200520,sell
176,20200521,sell
177,20200522,buy
178,20200523,buy
179,20200524,sell
180,20200525,sell
181,20200526,sell
182,20200527,sell
183,20200528,sell
184,20200529,sell
185,20200530,sell
186,20200531,sell
187,20200601,sell
188,20200602,buy
189,20200603,buy
190,20200604,buy
191,20200605,buy
192,20200606,buy
193,20200607,buy
194,20200608,buy
195,20200609,buy
196,20200610,buy
197,20200611,buy
